date,total_equity,total_cash,market_value,open_positions
2026-09-20,100000.0,100000.0,0,0
2026-09-21,100000.0,100000.0,0,0
2026-09-22,100000.0,100000.0,0,0
2026-09-23,100000.0,100000.0,0,0
